"gene","n_datasets_with_gene","non_imputed_First.trimester","non_imputed_Second.trimester","in_both_groups"
"100049587",1,42,7,TRUE
"100101267",1,42,7,TRUE
"100127206",1,42,7,TRUE
"100129583",1,42,7,TRUE
"100130742",1,42,7,TRUE
"100132247",1,42,7,TRUE
"100132406",1,42,7,TRUE
"100134934",1,42,7,TRUE
"100134938",1,42,7,TRUE
"100169851",1,42,7,TRUE
"100287171",1,42,7,TRUE
"100287284",1,42,7,TRUE
"100310812",1,42,7,TRUE
"10063",1,42,7,TRUE
"100874261",1,42,7,TRUE
"100885850",1,42,7,TRUE
"10094",1,42,7,TRUE
"10124",1,42,7,TRUE
"10168",1,42,7,TRUE
"10224",1,42,7,TRUE
"10239",1,42,7,TRUE
"10349",1,42,7,TRUE
"103910",1,42,7,TRUE
"10410",1,42,7,TRUE
"10412",1,42,7,TRUE
"10447",1,42,7,TRUE
"10452",1,42,7,TRUE
"10476",1,42,7,TRUE
"10477",1,42,7,TRUE
"10588",1,42,7,TRUE
"10597",1,42,7,TRUE
"10605",1,42,7,TRUE
"10620",1,42,7,TRUE
"1066",1,42,7,TRUE
"1082",1,42,7,TRUE
"10901",1,42,7,TRUE
"10951",1,42,7,TRUE
"10965",1,42,7,TRUE
"10971",1,42,7,TRUE
"11077",1,42,7,TRUE
"11102",1,42,7,TRUE
"11143",1,42,7,TRUE
"11158",1,42,7,TRUE
"11159",1,42,7,TRUE
"11173",1,42,7,TRUE
"1120",1,42,7,TRUE
"11200",1,42,7,TRUE
"1122",1,42,7,TRUE
"11224",1,42,7,TRUE
"11238",1,42,7,TRUE
"112398",1,42,7,TRUE
"112495",1,42,7,TRUE
"11272",1,42,7,TRUE
"112970",1,42,7,TRUE
"113457",1,42,7,TRUE
"114335",1,42,7,TRUE
"114336",1,42,7,TRUE
"114902",1,42,7,TRUE
"114928",1,42,7,TRUE
"1159",1,42,7,TRUE
"116150",1,42,7,TRUE
"1163",1,42,7,TRUE
"1176",1,42,7,TRUE
"1187",1,42,7,TRUE
"124801",1,42,7,TRUE
"124944",1,42,7,TRUE
"125919",1,42,7,TRUE
"126017",1,42,7,TRUE
"126432",1,42,7,TRUE
"126637",1,42,7,TRUE
"129868",1,42,7,TRUE
"130075",1,42,7,TRUE
"1337",1,42,7,TRUE
"136319",1,42,7,TRUE
"1375",1,42,7,TRUE
"1394",1,42,7,TRUE
"139741",1,42,7,TRUE
"140290",1,42,7,TRUE
"140825",1,42,7,TRUE
"143",1,42,7,TRUE
"1431",1,42,7,TRUE
"144983",1,42,7,TRUE
"1454",1,42,7,TRUE
"145553",1,42,7,TRUE
"145781",1,42,7,TRUE
"146779",1,42,7,TRUE
"147040",1,42,7,TRUE
"148003",1,42,7,TRUE
"1500",1,42,7,TRUE
"150094",1,42,7,TRUE
"151313",1,42,7,TRUE
"1565",1,42,7,TRUE
"163059",1,42,7,TRUE
"166655",1,42,7,TRUE
"1667",1,42,7,TRUE
"1668",1,42,7,TRUE
"167555",1,42,7,TRUE
"168417",1,42,7,TRUE
"170958",1,42,7,TRUE
"1719",1,42,7,TRUE
"1876",1,42,7,TRUE
"1911",1,42,7,TRUE
"1933",1,42,7,TRUE
"1937",1,42,7,TRUE
"196483",1,42,7,TRUE
"1973",1,42,7,TRUE
"1975",1,42,7,TRUE
"200030",1,42,7,TRUE
"200350",1,42,7,TRUE
"201965",1,42,7,TRUE
"2073",1,42,7,TRUE
"2171",1,42,7,TRUE
"2182",1,42,7,TRUE
"219473",1,42,7,TRUE
"219493",1,42,7,TRUE
"219858",1,42,7,TRUE
"220032",1,42,7,TRUE
"220869",1,42,7,TRUE
"2209",1,42,7,TRUE
"2212",1,42,7,TRUE
"221357",1,42,7,TRUE
"2214",1,42,7,TRUE
"221960",1,42,7,TRUE
"222967",1,42,7,TRUE
"226",1,42,7,TRUE
"2286",1,42,7,TRUE
"22932",1,42,7,TRUE
"2298",1,42,7,TRUE
"23117",1,42,7,TRUE
"23295",1,42,7,TRUE
"23308",1,42,7,TRUE
"2342",1,42,7,TRUE
"23420",1,42,7,TRUE
"23559",1,42,7,TRUE
"23678",1,42,7,TRUE
"23779",1,42,7,TRUE
"24150",1,42,7,TRUE
"246184",1,42,7,TRUE
"246721",1,42,7,TRUE
"2483",1,42,7,TRUE
"253314",1,42,7,TRUE
"253714",1,42,7,TRUE
"2547",1,42,7,TRUE
"25764",1,42,7,TRUE
"2577",1,42,7,TRUE
"25832",1,42,7,TRUE
"25843",1,42,7,TRUE
"26024",1,42,7,TRUE
"26140",1,42,7,TRUE
"26149",1,42,7,TRUE
"2629",1,42,7,TRUE
"26292",1,42,7,TRUE
"26472",1,42,7,TRUE
"2653",1,42,7,TRUE
"26580",1,42,7,TRUE
"267004",1,42,7,TRUE
"26986",1,42,7,TRUE
"27094",1,42,7,TRUE
"27111",1,42,7,TRUE
"27328",1,42,7,TRUE
"276",1,42,7,TRUE
"277",1,42,7,TRUE
"278",1,42,7,TRUE
"279",1,42,7,TRUE
"2790",1,42,7,TRUE
"283116",1,42,7,TRUE
"283820",1,42,7,TRUE
"283953",1,42,7,TRUE
"284194",1,42,7,TRUE
"284254",1,42,7,TRUE
"284417",1,42,7,TRUE
"284467",1,42,7,TRUE
"284565",1,42,7,TRUE
"285596",1,42,7,TRUE
"285636",1,42,7,TRUE
"285966",1,42,7,TRUE
"286527",1,42,7,TRUE
"2876",1,42,7,TRUE
"28957",1,42,7,TRUE
"29057",1,42,7,TRUE
"29128",1,42,7,TRUE
"2939",1,42,7,TRUE
"2944",1,42,7,TRUE
"2946",1,42,7,TRUE
"2966",1,42,7,TRUE
"29964",1,42,7,TRUE
"29970",1,42,7,TRUE
"3013",1,42,7,TRUE
"3020",1,42,7,TRUE
"3039",1,42,7,TRUE
"3040",1,42,7,TRUE
"3047",1,42,7,TRUE
"3050",1,42,7,TRUE
"30851",1,42,7,TRUE
"3125",1,42,7,TRUE
