gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
10166	-1.12869212563743	9.00750152826379	-6.81858274373246	4.13855746245936e-10	8.65193000518974e-09	12.5970297049097
10186	1.07244482121241	9.84083097074273	10.4612184998733	1.58044671628452e-18	3.26362246912754e-16	31.6142232780367
10194	1.11993575424741	8.79678615171057	7.74873360494597	3.55719709734028e-12	1.22939113071258e-10	17.2502438140014
10202	1.22055214331029	7.06581581843237	3.4730916621878	0.00071969863236125	0.00255028344200082	-1.23107361667132
10252	1.18766624282629	9.03753579290747	10.2785003051202	4.30051491153883e-18	8.07323935666152e-16	30.6301289368955
10272	-1.03660154603385	12.0896703901532	-4.42654348819383	2.14687614144461e-05	0.000118532238677054	2.08626936772016
10381	-1.13030886759953	8.87309106469255	-7.27859316016609	4.04272860463096e-11	1.0534049928786e-09	14.8705468135508
10404	1.06044553935214	8.46439743541015	6.8806308599169	3.03427091505063e-10	6.47624748276956e-09	12.900143996781
10468	1.24233593339866	7.77695063106356	8.6322207642851	3.30198116571523e-14	2.03674938846545e-12	21.8400829220372
10544	-1.30577161599673	11.2165180736509	-9.97325414377833	2.28592159122496e-17	3.20029022771494e-15	28.9878756220268
10630	1.65061565034749	9.62533020127153	7.27024096939581	4.21918302107186e-11	1.09249065059729e-09	14.828752204555
10631	1.20549575814924	9.0756454162619	4.95352174826008	2.45272689187462e-06	1.79129302624973e-05	4.16529045228592
10673	1.4680738220533	7.76666344026315	11.6565841872372	2.27073712224348e-21	8.1549080998831e-19	38.0485953959917
10761	1.76934499192199	9.96043053830394	8.78902035560187	1.42216736546538e-14	9.70834912292895e-13	22.6670815641724
10791	1.18308275262799	10.2710779942008	10.1931099965425	6.86429882126182e-18	1.15712465844128e-15	30.1704530114611
10870	1.69424461307037	8.96379009941398	5.50122468238573	2.21787411419653e-07	2.21251693034581e-06	6.4845499485485
10886	1.08245831606815	8.28751966883468	3.06180116228239	0.00272417976374351	0.00797933505266716	-2.46195605689091
10894	1.94191346715206	10.6821598397787	4.99881406419412	2.02171253740151e-06	1.52227397984836e-05	4.35124544683607
109	1.06328562551244	10.1014153536176	8.06193651665607	6.87093094777008e-13	2.8095984964644e-11	18.8619302553071
11096	1.17609537829039	7.61651953210612	5.83739778532816	4.74682831276303e-08	5.69895375921841e-07	7.97883150060461
11099	-1.03741489716604	8.90822167713354	-7.73431679407006	3.83515140033811e-12	1.31445438036485e-10	17.1765301251944
1123	1.04584942986132	9.85343385944391	6.72500347203382	6.59507721604413e-10	1.30323774651973e-08	12.1421213054497
11309	1.4311950718496	8.87373030531973	6.1682997318579	9.95824383932365e-09	1.41089355253539e-07	9.49649097896704
11326	1.20709433937141	7.66471304232089	4.35926733617772	2.80096935166865e-05	0.000150038954894832	1.832639764595
115677	1.17441196393542	7.46392345136831	8.59330835106833	4.06777969953548e-14	2.45254454877103e-12	21.6353387170475
116238	-1.14177506006381	8.55527780279728	-8.38158229860215	1.26094458482299e-13	6.42926066088758e-12	20.5250074099714
116835	1.2085620693515	6.52039851751852	9.47518661141789	3.46248616224702e-16	3.71430333768317e-14	26.3167462573628
1178	-1.17625306982038	6.93601055649651	-6.31422251466599	4.93768414504135e-09	7.42901111804035e-08	10.1793341157249
1236	-2.74845746868041	10.6716733840747	-11.7879997120101	1.10820788664918e-21	4.5768985718611e-19	38.753641628687
127845	-1.25631020941672	9.75438642830174	-7.73102920105207	3.90149501623948e-12	1.33166730719579e-10	17.1597266690568
1392	-1.40361761047049	11.3321176438793	-3.74588872248404	0.00027936828541654	0.00111997089129937	-0.345369295244693
1396	1.13790604690049	8.46120488123953	4.63798285273035	9.1537342950326e-06	5.6902010400338e-05	2.90118359010415
1520	1.09147025856603	5.11713241859887	9.01581289437309	4.1851834322381e-15	3.17152432571438e-13	23.868348063454
1536	1.46732769053957	7.31176804759117	6.13644869540234	1.15942352548017e-08	1.62044641632253e-07	9.34851493306127
