gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
10019	1.18820151211024	8.49245309390446	8.09816504569566	5.19333024357728e-12	2.16404676220984e-10	17.0169246423762
1013	1.02802217773599	5.45191277190048	6.01303659424909	5.16737497222707e-08	7.27624503117372e-07	8.01868628443729
10161	1.29276192203374	8.11748756451398	8.09074224799471	5.3703058300054e-12	2.22569341621335e-10	16.9840767004318
10166	-1.12228575429851	9.00768370896211	-6.88660233221225	3.12526190614557e-10	8.08096850687876e-09	12.8939790778764
10186	1.08196949908109	9.84023115847466	10.7707032298901	3.58960447505614e-19	1.21017992408095e-16	33.0758552865877
10194	1.1309553159343	8.79638303205366	7.90117070113404	1.75329447233212e-12	8.46749459902325e-11	17.9625539868355
10202	1.24532274627568	7.0663360084265	3.52757593254864	0.000601886595946385	0.00244251710961483	-1.03399968335115
10231	-1.03180708369507	7.07546577469025	-5.21906929308956	2.07665227968163e-06	1.7845976036813e-05	4.50431995700329
10252	1.19441606080415	9.03827644923364	10.4231195260603	2.37036118789071e-18	6.29618211892607e-16	31.2222753514025
10266	1.20609725559263	8.24048065276105	10.2871088746511	2.67193850111853e-16	3.90347948859241e-14	26.7028892351216
10272	-1.05150519092116	12.0898205844001	-4.56321670231313	1.26004621124713e-05	8.47654264365823e-05	2.62399694795438
10381	-1.15091208713525	8.87280097934036	-7.47477157961005	1.59247568243948e-11	5.84052116921477e-10	15.8029092255692
10404	1.06550360001626	8.46507849683139	6.92681349903349	2.55694621816634e-10	6.76908375522889e-09	13.0898949375989
10468	1.26092452803021	7.77711250597346	8.90152672601207	8.81630013629327e-15	8.17770146504536e-13	23.1512696612674
10544	-1.31497174630947	11.216243738951	-10.20798174577	7.62175531540495e-18	1.7352856160307e-15	30.0753495610096
10561	1.09710933134463	7.05398486114763	5.43359543972656	5.80214752849827e-07	5.95884290111911e-06	5.67047427584535
10630	1.66634922924623	9.62583855343861	7.33945880449285	3.18203959557686e-11	1.0686654434877e-09	15.1259094350707
10631	1.21451057252897	9.07547644829505	5.08236615306173	1.44316272485044e-06	1.30051526510667e-05	4.70346648112276
1066	1.01577015251681	5.98503075743258	5.27546845492471	7.69149734920739e-07	7.59232207370241e-06	5.54979140025274
10673	1.4637007750726	7.76794320690546	11.7084000921869	2.22731035872962e-21	1.25957993222222e-18	38.0657769642665
10761	1.78543581149394	9.96035507241302	8.92397362109454	7.81793299956376e-15	7.4084423467758e-13	23.2691867935496
10791	1.1821726938178	10.2718041926976	10.292791725001	4.8098063371505e-18	1.18761570276881e-15	30.5274044785814
10870	1.72520702724747	8.96396043670588	5.58072303154822	1.59436906019349e-07	1.94041888222213e-06	6.83054498637547
10886	1.13645633066018	8.28909920335484	3.2480972941983	0.00151976407877565	0.005374820267302	-1.89407516597905
10894	1.94957224641301	10.6822582904861	5.01803216358654	1.90176819134807e-06	1.6504900080457e-05	4.43785316957444
109	1.0704093486488	10.1022122674429	8.13170994000121	5.24448862833529e-13	2.84154562021604e-11	19.1448872932065
10990	1.64216568864011	7.35311497463664	4.82265959213883	6.64820163782597e-06	4.89704297952635e-05	3.3157569138731
1102	1.00536814403721	7.86518571091127	11.327510143043	1.75002217655918e-20	7.866574045451e-18	36.042128272161
11096	1.19315108759312	7.61578487982868	5.95909695650445	2.78833270345104e-08	4.21035836556418e-07	8.5209274272251
11098	1.60745360960992	7.66846321446706	10.3064244815515	2.45100408612929e-16	3.64140276558751e-14	26.7875279641023
11099	-1.04961273967014	8.90820464591699	-7.94811858877619	1.37225328862221e-12	6.81500634641246e-11	18.2025565514599
11159	-1.08555931185818	7.720960781813	-8.22143534884373	2.18345267120662e-12	1.01803480795009e-10	17.8713990067912
11185	1.3998972180444	7.27289014994838	4.98905051537269	3.46639020532762e-06	2.78502688769929e-05	3.9429417234236
1123	1.04948913705794	9.85300636597533	6.79191335760704	5.00460139730041e-10	1.2035070932246e-08	12.4345105074986
11280	1.35655206802018	5.85488065157835	5.56920497235724	5.44292224096155e-07	5.63744804039045e-06	5.80279997554317
11309	1.4484792411909	8.87446516999268	6.22962770071693	7.75035563373039e-09	1.3696722239408e-07	9.76512487905973
113230	-1.01656798040875	8.39127078145385	-9.31161527620221	3.19653362880986e-15	3.37580909919673e-13	24.1924305354848
11326	1.22931796080206	7.66358309861371	4.42921597992936	2.15376733229858e-05	0.000135429322462433	2.11211375768299
114336	-3.65178931821984	9.5317074910713	-8.18550930692252	2.57757110299421e-12	1.18602097130161e-10	17.7113230010436
114902	1.14969121772051	7.59191808764437	5.66767287725403	1.40186847425157e-07	1.73928918769315e-06	7.17767565601396
115677	1.18690971024851	7.46396065256749	8.83955177983395	1.22822881789153e-14	1.08747875790184e-12	22.8259792303599
116159	1.43638656657586	7.02726522653758	11.9121517117298	2.09177429838524e-19	7.48385616836564e-17	33.710784602263
116238	-1.15071724289629	8.55522983606669	-8.48988469218794	7.91111441424309e-14	5.50356138079744e-12	20.9990051830906
116535	1.22068807906194	6.15933015474646	8.6903284372686	7.27695029521076e-14	5.16249950684882e-12	21.1258704989817
116835	1.22587417978474	6.5207228700859	9.7049764949149	1.16445978193065e-16	1.87285728780057e-14	27.3982532238102
117247	1.34985543741138	8.89828786087809	4.83591530484976	6.31449794198824e-06	4.67865262543543e-05	3.36530411790363
1178	-1.20948343521958	6.93688352535391	-6.56089389797108	1.56136055494811e-09	3.30982005910464e-08	11.325060295429
118611	-1.34600465951299	6.88696413963425	-6.14107915685175	1.67001576491363e-08	2.72598197157364e-07	9.05442209587446
1236	-2.77068415826082	10.6724959819863	-11.9746847137987	5.29076451976366e-22	3.71009571183907e-19	39.4765636276025
