"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","21/291","82/7878",0.25609756097561,6.93311541362836,10.576590325356,9.68078340573595e-13,2.75902327063475e-10,2.19091413919287e-10,"1667/1668/1675/192666/2209/2212/2213/2357/3109/3113/3122/3684/3689/629/712/713/714/717/719/727/728358",21
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","20/291","82/7878",0.24390243902439,6.60296706059844,9.98805569672434,9.17462908467213e-12,1.30738464456578e-09,1.0381817122129e-09,"10544/11326/1675/2/2152/2162/3684/3689/5265/629/712/713/714/717/719/725/727/730/7448/7450",20
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","28/291","246/7878",0.113821138211382,3.08138462827927,6.49520093218632,9.04897542386529e-08,8.59652665267202e-06,6.82642005660013e-06,"10381/1520/1536/1667/1668/213/2209/2212/2213/249/3105/3106/3109/3113/3122/3134/3684/3689/4069/4688/6850/7096/7099/728358/8547/91937/929/948",28
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","21/291","151/7878",0.139072847682119,3.76500307230149,6.71847199055916,1.36877586234573e-07,9.75252801921334e-06,7.74438974748243e-06,"1013/1365/3105/3106/3109/3113/3122/3134/3384/3684/3689/4897/5175/57863/5789/58494/9071/920/940/942/947",21
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","25/291","220/7878",0.113636363636364,3.07638238050609,6.1172026718216,4.73714389210798e-07,2.70017201850155e-05,2.14418091958572e-05,"1536/1675/1839/185/2162/2212/340061/3569/51284/51311/5579/629/6347/6850/7099/7113/712/713/714/717/719/727/730/7450/834",25
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","17/291","114/7878",0.149122807017544,4.03707722915536,6.39672047330031,8.10454723762478e-07,3.84965993787177e-05,3.05697834401636e-05,"2209/2212/3109/3113/3122/712/713/714/717/727/730/8339/8365/8367/92815/940/942",17
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","13/291","73/7878",0.178082191780822,4.82107047027256,6.4232067132849,2.14545684168681e-06,8.73507428401057e-05,6.93643941297238e-05,"23643/3569/3684/3689/7099/712/713/714/717/725/727/834/929",13
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","14/291","90/7878",0.155555555555556,4.21122565864834,6.00027263328644,4.64101622834587e-06,0.000158180721355386,0.000125609806431793,"10673/2919/3109/3113/3122/3569/3689/414062/6347/6348/7043/7099/940/942",14
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","12/291","67/7878",0.17910447761194,4.84874596091706,6.19576880619272,4.99518067438061e-06,0.000158180721355386,0.000125609806431793,"3105/3106/3109/3113/3122/3134/3689/3908/6641/940/942/284217",12
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","9/291","37/7878",0.243243243243243,6.58512120367791,6.6686759228434,5.65569470332532e-06,0.000161187299044772,0.00012799730118052,"3105/3106/3109/3113/3122/3134/3569/940/942",9
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","14/291","94/7878",0.148936170212766,4.03202456679096,5.79144723869717,7.83355862169026e-06,0.000202960382471066,0.000161168909441474,"2209/3109/3113/3122/3569/3684/4254/920/929/945/947/948/951/960",14
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","19/291","169/7878",0.112426035502959,3.0436161776368,5.259391942003,1.37401226837104e-05,0.000317919606791564,0.000252456936141039,"1536/2209/2212/2357/3684/3689/4688/51284/51311/5579/6850/7099/727/7450/8339/834/8365/8367/92815",19
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","12/291","74/7878",0.162162162162162,4.39008080245194,5.73798164175525,1.45015960992643e-05,0.000317919606791564,0.000252456936141039,"1536/2209/2212/3109/3113/3122/3684/3689/4688/5579/7043/7099",12
"Human Diseases","Immune disease","hsa05330","Allograft rejection","8/291","36/7878",0.222222222222222,6.01603665521191,5.90731878698645,3.86174199232339e-05,0.000786140334151548,0.000624266562668819,"3105/3106/3109/3113/3122/3134/940/942",8
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","10/291","58/7878",0.172413793103448,4.6676146462851,5.4901750753833,4.38405431317546e-05,0.000832970319503337,0.000661453808654543,"127281/247/255189/27306/5320/5322/5730/6916/8399/8644",10
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","9/291","48/7878",0.1875,5.07603092783505,5.54713944656111,5.33241940540254e-05,0.000949837206587328,0.000754256692211544,"2532/3043/3569/3689/5175/6347/7043/7099/948",9
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","8/291","42/7878",0.19047619047619,5.1566028473245,5.28941737520985,0.000124203789409942,0.00208223999893139,0.00165348697976084,"3105/3106/3109/3113/3122/3134/940/942",8
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","10/291","68/7878",0.147058823529412,3.98120072771377,4.83517317423783,0.000176248065191238,0.00257450060942851,0.00204438644885367,"1520/3105/3106/3109/3113/3122/3134/3310/920/972",10
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","18/291","187/7878",0.0962566844919786,2.6058768399581,4.35244716159144,0.000179213865684473,0.00257450060942851,0.00204438644885367,"109/1236/1524/1794/196883/2791/2919/3055/3579/414062/5473/5579/58191/6347/6348/6355/6357/7454",18
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","12/291","95/7878",0.126315789473684,3.41964188822572,4.64655686988439,0.00018066670943358,0.00257450060942851,0.00204438644885367,"1236/1524/2919/3569/3579/414062/5473/6347/6348/6355/6357/8764",12
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","17/291","172/7878",0.0988372093023256,2.67573723327739,4.3515854471055,0.000196784061989054,0.00266875526093879,0.00211923317119793,"1520/2207/2209/2212/2213/3109/3113/3122/3569/3684/3689/6850/7043/7096/7099/929/972",17
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","8/291","45/7878",0.177777777777778,4.81282932416953,5.02321114882983,0.00020600917803738,0.00266875526093879,0.00211923317119793,"10673/3109/3113/3122/3569/5284/940/942",8
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","8/291","46/7878",0.173913043478261,4.70820259973106,4.93966965084599,0.000241510226014646,0.00299262671365974,0.00237641641158576,"3105/3106/3109/3113/3122/3134/940/942",8
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","15/291","144/7878",0.104166666666667,2.82001718213058,4.31664690402142,0.000263040004130514,0.00312187374865021,0.00247905025285243,"10161/109/185/1902/196883/2207/255189/27128/3579/4254/5159/56034/57121/6850/8613",15
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","23/291","281/7878",0.0818505338078292,2.21587115236453,4.06454116620583,0.000273848574443001,0.00312187374865021,0.00247905025285243,"10673/1236/1524/2919/3569/3579/3623/392255/3952/414062/5473/55504/58191/6347/6348/6355/6357/653/7043/8742/8764/90865/920",23
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","12/291","100/7878",0.12,3.24865979381443,4.43181538229963,0.000294518372814475,0.00322837447123559,0.00256362146376972,"10319/2769/2919/3569/3684/3689/3908/5579/7043/7099/929/284217",12
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","17/291","188/7878",0.0904255319148936,2.44801491555166,3.93532555117579,0.000562675314488144,0.0059393505418193,0.00471638177836066,"1667/1668/2209/2313/3479/3569/3684/4066/4094/4613/6688/7102/7113/728358/8842/929/942",17
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","8/291","55/7878",0.145454545454545,3.9377694470478,4.28158198712646,0.000844955728996238,0.00860044224156885,0.00682952938850343,"2919/3310/3569/3684/3689/7099/834/929",8
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","11/291","98/7878",0.112244897959184,3.03871239217336,3.97714181663228,0.000926545591587013,0.00910570667594134,0.00723075507046127,"1536/185/1906/1958/2152/3569/4313/5579/6347/7043/7424",11
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","13/291","131/7878",0.099236641221374,2.68655072007555,3.81206371998494,0.00106030161114275,0.0100728653058561,0.00799876654019969,"109/185/1906/196883/255189/2982/3778/4629/4638/5320/5322/5579/8399",13
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","11/291","101/7878",0.108910891089109,2.94845360824742,3.85954920890018,0.00119174635276894,0.0109563777593274,0.00870035537675119,"23643/3569/414062/51284/51311/6348/6696/7096/7099/929/942",11
NA,NA,"hsa04518","Integrin signaling","14/291","151/7878",0.0927152317880795,2.510002048201,3.66903985321112,0.00134121758889895,0.0119452191511313,0.00948558492148931,"10319/3384/3479/3684/3689/3908/5159/56034/6696/7424/7448/7450/83706/284217",14
"Metabolism","Lipid metabolism","hsa00565","Ether lipid metabolism","7/291","49/7878",0.142857142857143,3.86745213549337,3.94305600790434,0.00197804966461624,0.0165807104239891,0.0131665844548759,"255189/5168/5320/5322/7941/8399/8613",7
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","7/291","49/7878",0.142857142857143,3.86745213549337,3.94305600790434,0.00197804966461624,0.0165807104239891,0.0131665844548759,"109/196883/255189/3284/3294/3479/8644",7
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","11/291","109/7878",0.100917431192661,2.73205334342192,3.56602042744449,0.00221675934312138,0.0180507546511312,0.0143339325946195,"1365/1536/3684/3689/4313/4688/5175/5579/58494/7294/9071",11
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","8/291","64/7878",0.125,3.3840206185567,3.7502063589809,0.00230567412557404,0.0182532534941278,0.0144947349999538,"3109/3113/3122/3569/4094/6775/7043/7099",8
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","10/291","101/7878",0.099009900990099,2.68041237113402,3.32860593148534,0.0039921385957362,0.030750256750941,0.0244184864319568,"2769/3569/414062/6347/6348/7043/7099/712/713/714",10
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","6/291","43/7878",0.13953488372093,3.77751138815632,3.57653476490532,0.00464866451543137,0.0342714500741653,0.0272146325612023,"335/5320/5322/8399/8613/948",6
"Organismal Systems","Immune system","hsa04611","Platelet activation","11/291","120/7878",0.0916666666666667,2.48161512027491,3.20289729027472,0.00468977737856998,0.0342714500741653,0.0272146325612023,"109/196883/2207/2212/255189/2982/4638/6850/6916/7450/83706",11
