"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001819","positive regulation of cytokine production","58/508","483/15845",0.12008281573499,3.74549648685219,11.1523050838313,2.31570277448831e-18,1.02631946965322e-14,7.8831397607318e-15,"POSTN/CCR7/CYBB/CLEC12A/EGR1/AIF1/F3/FCER1G/FCGR1A/FCGR2A/FCGR2B/RFTN1/PLCB1/LY96/CADM1/ALOX15B/MCOLN2/RGCC/HLA-A/HLA-DPA1/HLA-F/STING1/IFI16/IL6/IDO1/ISL1/LEP/LPL/MBP/MMP12/PAEP/TLR7/TLR8/IL17D/NLRP2/CCL3/SYK/TLR1/TLR4/C3AR1/C5/TXK/TYROBP/LAPTM5/CASP1/AFAP1L2/HAVCR2/TNFRSF14/WNT3A/IL33/ARRDC4/CD4/CD14/CD28/CD86/CD34/CD36/CD74",58
"GO:0050900","leukocyte migration","46/508","381/15845",0.120734908136483,3.76583586500506,9.94539497281525,7.66795970472237e-15,1.69921987056648e-11,1.30516745710906e-11,"LYVE1/CCR7/CMKLR1/DEFA1/GPR183/EDN1/AIF1/FCER1G/PLCB1/MCOLN2/GAS6/GCNT1/HCK/NCKAP1L/APOD/IL6/CXCR2/ITGB2/LEP/KITLG/MMP2/NBL1/PECAM1/TREM1/PPBP/PTPRO/CXCL16/JAM2/RARRES2/S100A8/CCL2/CCL3/CCL8/CCL13/BMP5/SYK/C3AR1/C5/DEFA1B/VEGFC/PLA2G7/TRIM55/TNFRSF14/IL33/CD34/CD74",46
"GO:0006935","chemotaxis","48/508","436/15845",0.110091743119266,3.43386549158419,9.37878660287603,6.82242066251359e-14,8.9912560867831e-11,6.90616620384205e-11,"CYSLTR1/CCR7/CMKLR1/DEFA1/DOCK2/HBEGF/AGTR1/GPR183/LPAR1/EDN1/AIF1/F3/FCER1G/FPR1/GAS6/CXCL1/NCKAP1L/APOA1/IL6/CXCR2/ITGB2/LOX/CCL3L3/MMP2/NBL1/PDGFRB/ENPP2/TREM1/PPBP/PTPRO/CXCL16/RARRES2/S100A8/CCL2/CCL3/CCL8/CCL13/SLIT3/SYK/C3AR1/C5/DEFA1B/VEGFC/SEMA3B/PLA2G7/WNT3A/CCRL2/CD74",48
"GO:0042330","taxis","48/508","438/15845",0.10958904109589,3.41818574048107,9.34031954071489,8.11485206388367e-14,8.9912560867831e-11,6.90616620384205e-11,"CYSLTR1/CCR7/CMKLR1/DEFA1/DOCK2/HBEGF/AGTR1/GPR183/LPAR1/EDN1/AIF1/F3/FCER1G/FPR1/GAS6/CXCL1/NCKAP1L/APOA1/IL6/CXCR2/ITGB2/LOX/CCL3L3/MMP2/NBL1/PDGFRB/ENPP2/TREM1/PPBP/PTPRO/CXCL16/RARRES2/S100A8/CCL2/CCL3/CCL8/CCL13/SLIT3/SYK/C3AR1/C5/DEFA1B/VEGFC/SEMA3B/PLA2G7/WNT3A/CCRL2/CD74",48
"GO:0006959","humoral immune response","37/508","277/15845",0.133574007220217,4.16629949685892,9.67541337954495,1.63175859116777e-13,1.44639081521111e-10,1.11096995449191e-10,"VSIG4/CCR7/DEFA1/DEFA3/CFD/GPR183/A2M/FCGR2B/ANG/RGCC/CXCL1/HLA-A/IL6/LYZ/CCL3L3/NTS/TREM1/PPBP/RARRES2/RNASE4/RNASE6/CFB/CCL2/CCL3/CCL8/CCL13/C1QA/C1QB/C1QC/C2/C4BPB/C5/DEFA1B/C7/H2BC8/FCN3/CD28",37
"GO:0060326","cell chemotaxis","38/508","296/15845",0.128378378378378,4.00424292402639,9.49562892964477,2.70055777464227e-13,1.99481200953576e-10,1.5322112005602e-10,"CCR7/CMKLR1/DEFA1/HBEGF/AGTR1/GPR183/LPAR1/EDN1/AIF1/FCER1G/GAS6/NCKAP1L/IL6/CXCR2/ITGB2/LOX/CCL3L3/MMP2/NBL1/PDGFRB/TREM1/PPBP/PTPRO/CXCL16/RARRES2/S100A8/CCL2/CCL3/CCL8/CCL13/SYK/C3AR1/C5/DEFA1B/VEGFC/PLA2G7/CCRL2/CD74",38
"GO:0030595","leukocyte chemotaxis","31/508","223/15845",0.139013452914798,4.33596094770665,9.13059620826375,5.55990038999008e-12,3.520211218348e-09,2.70386734755307e-09,"CCR7/CMKLR1/DEFA1/GPR183/EDN1/AIF1/FCER1G/GAS6/NCKAP1L/IL6/CXCR2/ITGB2/MMP2/NBL1/TREM1/PPBP/PTPRO/CXCL16/RARRES2/S100A8/CCL2/CCL3/CCL8/CCL13/SYK/C3AR1/C5/DEFA1B/VEGFC/PLA2G7/CD74",31
"GO:0097529","myeloid leukocyte migration","31/508","225/15845",0.137777777777778,4.29741907261592,9.06606762343255,7.05100416431378e-12,3.90625630702983e-09,3.00038782465668e-09,"CCR7/CMKLR1/EDN1/AIF1/FCER1G/PLCB1/MCOLN2/NCKAP1L/IL6/CXCR2/ITGB2/KITLG/MMP2/NBL1/PECAM1/TREM1/PPBP/PTPRO/RARRES2/S100A8/CCL2/CCL3/CCL8/CCL13/SYK/C3AR1/C5/VEGFC/PLA2G7/TRIM55/CD74",31
"GO:0006909","phagocytosis","30/508","226/15845",0.132743362831858,4.14039091352519,8.65377069941846,4.01102807691842e-11,1.89650579510983e-08,1.45670238965067e-08,"ABCA7/DOCK2/AIF1/FCER1G/FCGR1A/FCGR2A/FCGR2B/CD93/GAS6/HCK/NCKAP1L/APOA1/ITGAM/ITGB2/LEP/NCF2/PECAM1/PLA2G5/CCL2/SYK/TLR4/C2/C4BPB/TYROBP/SRPX/FCN3/TIMD4/CD14/CD36/ARHGAP25",30
"GO:0002274","myeloid leukocyte activation","31/508","241/15845",0.128630705394191,4.01211324206881,8.57543007631071,4.27911957380376e-11,1.89650579510983e-08,1.45670238965067e-08,"DHRS2/SCN11A/VSIG4/CLEC12A/DOCK2/AIF1/FCER1G/FCGR2B/CD93/MILR1/IL6/CXCR2/ITGAM/ITGB2/MAPT/MT1G/PLA2G2A/PTGDS/CCL3/SNCA/SPI1/SYK/TLR1/TLR4/C1QA/TYROBP/PLA2G10/HAVCR2/IL33/CD33/CD74",31
