"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006959","humoral immune response","23/215","277/15845",0.0830324909747292,6.11930148602132,10.0810632057363,3.85135127232157e-12,1.22588510997996e-08,1.00905403334825e-08,"DEFA1/DEFA3/ANG/CXCL1/HLA-A/CFI/IL6/LYZ/CCL3L3/NTS/RNASE6/CCL3/CCL8/CCL13/SLC11A1/C1QC/C1R/C4BPB/C5/DEFA1B/C7/H2BC8/CD28",23
"GO:0050900","leukocyte migration","23/215","381/15845",0.0603674540682415,4.44894097540133,7.99207382858672,2.23436779197386e-09,3.5559963409264e-06,2.92702180748576e-06,"CMKLR1/DEFA1/EDN1/AIF1/MCOLN2/GAS6/HCK/NCKAP1L/APOD/IL6/KITLG/NBL1/PECAM1/CCL3/CCL8/CCL13/SYK/C5/DEFA1B/PLVAP/TRIM55/TNFRSF14/CD74",23
"GO:0002443","leukocyte mediated immunity","23/215","393/15845",0.0585241730279898,4.31309544943488,7.80027710421746,4.03928537480311e-09,4.2856817826661e-06,3.52764256066139e-06,"SCN11A/FCGR1A/FCGR2A/MILR1/NCKAP1L/HLA-A/CFI/IL6/ITGAM/CALHM6/TLR8/CCL3/SPI1/SYK/TLR4/C1QC/C1R/C4BPB/C5/C7/WAS/CD28/CD74",23
"GO:0019730","antimicrobial humoral response","15/215","164/15845",0.0914634146341463,6.74064095292116,8.66697590721058,6.63773915470726e-09,5.28198093235831e-06,4.34771914633326e-06,"DEFA1/DEFA3/ANG/CXCL1/HLA-A/LYZ/CCL3L3/NTS/RNASE6/CCL3/CCL8/CCL13/SLC11A1/DEFA1B/H2BC8",15
"GO:0001906","cell killing","17/215","237/15845",0.0717299578059072,5.28633107644,7.79755444023679,2.52071342870142e-08,1.3960528552918e-05,1.1491229911607e-05,"DEFA1/DEFA3/FCGR1A/FCGR2A/CXCL1/NCKAP1L/HLA-A/ITGAM/LYZ/NTS/PLA2G2A/CCL8/CCL13/SPI1/C5/DEFA1B/C7",17
"GO:0006935","chemotaxis","23/215","436/15845",0.0527522935779817,3.88772135694474,7.17106170803668,2.82205876754593e-08,1.3960528552918e-05,1.1491229911607e-05,"CMKLR1/DEFA1/AGTR1/EDN1/AIF1/F3/GAS6/CXCL1/NCKAP1L/APOA1/TUBB2B/IL6/LOX/CCL3L3/NBL1/CCL3/CCL8/CCL13/SYK/C5/DEFA1B/WNT3A/CD74",23
"GO:0042330","taxis","23/215","438/15845",0.0525114155251142,3.86996920462992,7.14376909300602,3.07017593058203e-08,1.3960528552918e-05,1.1491229911607e-05,"CMKLR1/DEFA1/AGTR1/EDN1/AIF1/F3/GAS6/CXCL1/NCKAP1L/APOA1/TUBB2B/IL6/LOX/CCL3L3/NBL1/CCL3/CCL8/CCL13/SYK/C5/DEFA1B/WNT3A/CD74",23
"GO:0002250","adaptive immune response","23/215","458/15845",0.0502183406113537,3.70097491621814,6.8793668746182,6.94015513026741e-08,2.62663514962059e-05,2.16204338423058e-05,"LILRB5/FCGR1A/FCGR2A/MCOLN2/NCKAP1L/HLA-A/HLX/CFI/IL6/TLR8/SLC11A1/SYK/TLR4/C1QC/C1R/C4BPB/C5/C7/WAS/LILRA6/TNFRSF14/CD28/CD74",23
"GO:0097529","myeloid leukocyte migration","16/215","225/15845",0.0711111111111111,5.24072351421189,7.51385587393092,7.42686658705162e-08,2.62663514962059e-05,2.16204338423058e-05,"CMKLR1/EDN1/AIF1/MCOLN2/NCKAP1L/IL6/KITLG/NBL1/PECAM1/CCL3/CCL8/CCL13/SYK/C5/TRIM55/CD74",16
"GO:0060326","cell chemotaxis","18/215","296/15845",0.0608108108108108,4.4816153362665,7.09165448919594,1.21178710990096e-07,3.85711837081475e-05,3.17488222794051e-05,"CMKLR1/DEFA1/AGTR1/EDN1/AIF1/GAS6/NCKAP1L/IL6/LOX/CCL3L3/NBL1/CCL3/CCL8/CCL13/SYK/C5/DEFA1B/CD74",18
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","12/215","127/15845",0.094488188976378,6.96355978758469,7.91372498419917,1.56696776368294e-07,4.53423490163892e-05,3.73223230986301e-05,"DEFA1/DEFA3/ANG/CXCL1/CCL3L3/NTS/RNASE6/CCL3/CCL8/CCL13/DEFA1B/H2BC8",12
