"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","11/132","144/7875",0.0763888888888889,4.55729166666667,5.62487564630432,2.72004658961394e-05,0.00396727137963051,0.00320971064206731,"10161/185/1902/196883/23236/255189/3579/4254/56034/57121/6850",11
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","14/132","245/7875",0.0571428571428571,3.40909090909091,5.001542956745,5.70223472610687e-05,0.00396727137963051,0.00320971064206731,"1667/1668/213/2209/2212/249/3105/3684/4069/6850/7096/7099/728358/91937",14
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","8/132","82/7875",0.0975609756097561,5.82039911308204,5.72885232154059,6.33831372050134e-05,0.00396727137963051,0.00320971064206731,"1667/1668/2209/2212/3684/714/727/728358",8
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","12/132","187/7875",0.0641711229946524,3.82839086047642,5.11073758535479,6.55747335476118e-05,0.00396727137963051,0.00320971064206731,"1794/196883/23236/2919/3055/3579/414062/5579/6348/6355/6357/7454",12
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","11/132","169/7875",0.0650887573964497,3.88313609467456,4.94679638042273,0.000117721044493545,0.0056976985534876,0.00460970826858936,"2209/2212/23236/3684/51311/5579/6850/7099/727/8367/92815",11
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","8/132","95/7875",0.0842105263157895,5.02392344497608,5.15171411970025,0.000180159083785265,0.00726641637933902,0.00587887536562444,"2919/3569/3579/414062/6348/6355/6357/8764",8
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","12/132","220/7875",0.0545454545454545,3.25413223140496,4.42739400879393,0.000304648190953052,0.0105321231729484,0.00852098699507786,"1839/185/2212/340061/3569/51311/5579/6850/7099/714/727/730",12
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","8/132","114/7875",0.0701754385964912,4.1866028708134,4.47457269580824,0.000625319827252679,0.0189159247743936,0.0153038799827629,"2209/2212/714/727/730/8367/92815/940",8
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagosome formation","7/132","93/7875",0.0752688172043011,4.49046920821114,4.42089004492145,0.000907314614871934,0.0219834331658528,0.0177856397079105,"2209/2212/255189/3055/5579/6850/7454",7
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","9/132","151/7875",0.0596026490066225,3.55583985550873,4.14029246763389,0.000942410485281792,0.0219834331658528,0.0177856397079105,"1013/1365/23705/3105/3684/5175/5789/9071/940",9
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","6/132","69/7875",0.0869565217391304,5.18774703557312,4.56163731898806,0.000999246962084217,0.0219834331658528,0.0177856397079105,"185/1906/23236/3778/5140/5732",6
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","6/132","73/7875",0.0821917808219178,4.90348692403487,4.374628995389,0.00134366561009326,0.0250122153959478,0.0202360681324328,"3569/3684/7099/714/725/727",6
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","7/132","100/7875",0.07,4.17613636363636,4.1732940141877,0.00139172378693131,0.0250122153959478,0.0202360681324328,"23236/2769/2919/3569/3684/5579/7099",7
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","7/132","101/7875",0.0693069306930693,4.13478847884789,4.13977466045019,0.00147485371219967,0.0250122153959478,0.0202360681324328,"23236/2769/3569/414062/6348/7099/714",7
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","8/132","131/7875",0.0610687022900763,3.64330326162387,3.98318069788689,0.0015503439295009,0.0250122153959478,0.0202360681324328,"185/1906/196883/23236/255189/3778/4629/5579",8
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","5/132","55/7875",0.0909090909090909,5.42355371900826,4.29812770558161,0.00218024204400321,0.0329761609155486,0.0266792776437235,"2919/3310/3569/3684/7099",5
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","5/132","58/7875",0.0862068965517241,5.14302507836991,4.13467658042035,0.00275924773824516,0.0392787030973723,0.0317783330844335,"127281/247/255189/6916/8644",5
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","4/132","36/7875",0.111111111111111,6.62878787878788,4.41942575124654,0.00293212543984616,0.0394207975801539,0.0318932942579758,"23236/335/3569/5579",4
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","10/132","219/7875",0.045662100456621,2.72415940224159,3.37853600097321,0.00365207264083157,0.0452391240995579,0.0366005962701947,"196883/23236/3105/340061/3569/3579/414062/5579/5732/6348",10
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","6/132","90/7875",0.0666666666666667,3.97727272727273,3.70886142195409,0.00390028143546764,0.0452391240995579,0.0366005962701947,"2919/3569/414062/6348/7099/940",6
"Organismal Systems","Immune system","hsa04611","Platelet activation","7/132","120/7875",0.0583333333333333,3.48011363636364,3.57438511903932,0.00392570911607734,0.0452391240995579,0.0366005962701947,"196883/2212/23236/255189/6850/6916/83706",7
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","9/132","188/7875",0.0478723404255319,2.85602030947776,3.36289455056645,0.00423210756558879,0.0461056628092885,0.0373016671706292,"1667/1668/2209/3569/3684/6688/7102/728358/8842",9
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","9/132","189/7875",0.0476190476190476,2.84090909090909,3.34459160709933,0.00438194315956048,0.0461056628092885,0.0373016671706292,"1365/1902/2212/3071/3569/4629/57121/7099/9071",9
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","6/132","94/7875",0.0638297872340425,3.80802707930367,3.57583566730375,0.00483129909232315,0.0487155991809251,0.0394132294373731,"2209/3569/3684/4254/945/951",6
