"gene","n_datasets_with_gene","non_imputed_First.trimester","non_imputed_Second.trimester","in_both_groups"
"10003",5,66,15,TRUE
"100049587",1,42,7,TRUE
"10009",5,86,15,TRUE
"100101267",1,42,7,TRUE
"10011",5,86,15,TRUE
"100113407",5,86,15,TRUE
"100127206",1,42,7,TRUE
"100127983",4,50,15,TRUE
"100128731",5,86,15,TRUE
"100128927",4,50,15,TRUE
"100129583",2,78,7,TRUE
"100129792",4,50,15,TRUE
"100130613",4,50,15,TRUE
"100130705",4,50,15,TRUE
"100130742",1,42,7,TRUE
"100130958",5,86,15,TRUE
"100131187",5,86,15,TRUE
"100131801",5,86,15,TRUE
"100132247",2,78,7,TRUE
"100132406",2,78,7,TRUE
"100133941",5,86,15,TRUE
"100134934",1,42,7,TRUE
"100134938",1,42,7,TRUE
"100169851",1,42,7,TRUE
"100170841",5,86,15,TRUE
"100188893",5,86,15,TRUE
"10019",5,66,15,TRUE
"10023",5,66,15,TRUE
"100287171",3,94,7,TRUE
"100287284",1,42,7,TRUE
"100289635",5,66,15,TRUE
"100310812",1,42,7,TRUE
"10039",5,86,15,TRUE
"10044",4,50,15,TRUE
"100505576",4,50,15,TRUE
"100506049",4,50,15,TRUE
"100506084",5,86,15,TRUE
"100506144",5,86,15,TRUE
"10052",5,66,15,TRUE
"10063",3,94,7,TRUE
"10072",5,86,15,TRUE
"10075",5,86,15,TRUE
"10079",5,86,15,TRUE
"10082",4,50,15,TRUE
"100820829",4,50,15,TRUE
"100874261",1,42,7,TRUE
"100885850",3,94,7,TRUE
"10090",4,50,15,TRUE
"10094",3,94,7,TRUE
"10120",5,86,15,TRUE
"10124",3,94,7,TRUE
"10125",5,66,15,TRUE
"1013",5,66,15,TRUE
"10149",4,50,15,TRUE
"10161",5,66,15,TRUE
"10163",5,86,15,TRUE
"101669762",4,50,15,TRUE
"10168",2,58,7,TRUE
"10169",5,86,15,TRUE
"10203",4,50,15,TRUE
"10205",5,86,15,TRUE
"10220",5,86,15,TRUE
"10223",4,50,15,TRUE
"10224",3,94,7,TRUE
"10231",4,50,15,TRUE
"10232",4,50,15,TRUE
"10239",3,94,7,TRUE
"10242",4,50,15,TRUE
"10243",5,66,15,TRUE
"10254",5,86,15,TRUE
"10257",4,50,15,TRUE
"10261",5,66,15,TRUE
"10266",5,66,15,TRUE
