"symbol","entrez_id","source_study","assay","published_contrast","tested","logFC","adj.P.Val","is_deg","direction"
"FST","10468","Uuskula2012","qPCR","mid-gestation vs term placenta",TRUE,1.01898629479105,6.03526024946341e-09,TRUE,"up"
"PLAGL1","5325","Uuskula2012","qPCR","mid-gestation vs term placenta",TRUE,1.35390051814298,1.37062725801568e-07,TRUE,"up"
"ITGBL1","9358","Uuskula2012","qPCR","mid-gestation vs term placenta",TRUE,1.06624941237668,3.1620743691369e-07,TRUE,"up"
"BMP5","653","Uuskula2012","qPCR","mid-gestation vs term placenta",TRUE,1.90691856472857,2.29084817863006e-14,TRUE,"up"
"STC1","6781","Uuskula2012","qPCR","mid-gestation vs term placenta",TRUE,1.119423202373,1.39755593063644e-05,TRUE,"up"
"GPR183","1880","Uuskula2012","qPCR","mid-gestation vs term placenta",TRUE,1.04527367156708,2.44694268966855e-11,TRUE,"up"
"LYPD6","130574","Uuskula2012","qPCR","mid-gestation vs term placenta",TRUE,1.20674792022833,7.22844923886923e-09,TRUE,"up"
"CDH11","1009","Uuskula2012","qPCR","mid-gestation vs term placenta",TRUE,0.83354803495172,1.61915170642634e-08,FALSE,"up"
"SLC16A10","117247","Uuskula2012","qPCR","mid-gestation vs term placenta",TRUE,1.87261377589451,3.3402306613145e-08,TRUE,"up"
"NRCAM","4897","Uuskula2012","qPCR","mid-gestation vs term placenta",TRUE,2.3593603899062,7.50756444258796e-10,TRUE,"up"
"GATM","2628","Uuskula2012","qPCR","mid-gestation vs term placenta",TRUE,1.131966501544,4.04528901447148e-10,TRUE,"up"
"ZFP36L1","677","Uuskula2012","qPCR","mid-gestation vs term placenta",TRUE,0.28256240678806,0.0231194854465895,FALSE,"up"
"CCNG2","901","Uuskula2012","qPCR","mid-gestation vs term placenta",TRUE,0.307036778803351,0.00134188124879864,FALSE,"up"
"NEDD9","4739","Uuskula2012","qPCR","mid-gestation vs term placenta",TRUE,0.708323594550838,2.05767549071061e-08,FALSE,"up"
"NR3C1","2908","Uuskula2012","qPCR","mid-gestation vs term placenta",TRUE,0.906983999255676,1.96356063639446e-11,FALSE,"up"
"IDO1","3620","Blaschitz2011","immunohistochemistry","first-trimester vs term placenta",TRUE,2.64885462610237,2.49066299041096e-17,TRUE,"up"
"GH2","2689","Mannik2012","qPCR","term placenta expression study",TRUE,0.639305154826422,0.0008244966942685,FALSE,"up"
